Year,Player,Salary
2011,Eric Tangradi,"$737,500"
2011,Matt Hackett,"$665,000"
2011,Igor Bobkov,$0
2011,Zac Dalpe,"$637,500"
2011,Riley Nash,"$637,500"
2011,Tyler Sloan,"$700,000"
2011,Jyri Niemi,"$700,000"
2011,Ryan O'Marra,"$700,000"
2011,Brad Winchester,"$700,000"
2011,Matt Carkner,"$700,000"
2011,Sean Bergenheim,"$700,000"
2011,Zack Stortini,"$700,000"
2011,Lauri Korpikoski,"$750,000"
2011,Adam Pardy,"$700,000"
2011,Michael Ratchuk,"$735,000"
2011,Charles-Olivier Roussel,$0
2011,Anton Rödin,"$615,000"
2011,Johan Fransson,"$690,000"
2011,Eric Gelinas,$0
2011,Jesse Blacker,$0
2011,Taylor Beck,$0
2011,Brendan Mikkelson,"$687,500"
2011,Tyler Plante,"$687,500"
2011,Byron Bitz,"$700,000"
2011,Brandon McMillan,"$665,000"
2011,Anders Lindbäck,"$637,500"
2011,Tommy Wingels,"$687,500"
2011,Cameron Gaunce,"$587,500"
2011,Jamie McBain,"$685,000"
2011,Dana Tyrell,"$712,500"
2011,Peter Andersson,$0
2011,Jamie McGinn,"$650,000"
2011,Kevin Connauton,"$640,000"
2011,Harri Säteri,"$587,500"
2011,Taylor Ellington,"$687,500"
2011,Evgeny Grachev,"$612,500"
2011,Fabian Brunnstrom,"$675,000"
2011,David Hale,"$675,000"
2011,Jason Garrison,"$650,000"
2011,Mathieu Perreault,"$675,000"
2011,Yann Sauve,"$612,500"
2011,Paul Postma,"$662,500"
2011,Kevin Marshall,"$687,500"
2011,Eddie Läck,"$640,000"
2011,Cam Talbot,"$640,000"
2011,Justin Braun,"$612,500"
2011,Patrick Mullen,"$662,500"
2011,Mathieu Carle,"$660,000"
2011,Kevin Porter,"$660,000"
2011,Taylor Doherty,$0
2011,Tomas Tatar,$0
2011,Matt Bartkowski,"$635,000"
2011,Anton Khudobin,"$660,000"
2011,Marc-Andre Cliche,"$660,000"
2011,Chris Thorburn,"$690,000"
2011,Chad Johnson,"$680,000"
2011,Jaroslav Janus,"$660,000"
2011,Drayson Bowman,"$687,500"
2011,Evgeni Dadonov,"$662,500"
2011,Oscar Moller,"$654,167"
2011,Stefan Legein,"$625,000"
